2,1,0.000000
2,1,0.000000
2,2,0.000000
2,3,0.000000
2,4,0.000000
2,5,0.000000
2,6,0.000000
2,7,0.000000
2,8,0.000000
4,1,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.000000
4,4,0.000000
4,5,0.000000
4,6,0.000000
4,7,0.000000
4,8,0.000000
8,1,0.000002
8,1,0.000002
8,2,0.000002
8,3,0.000002
8,4,0.000002
8,5,0.000002
8,6,0.000002
8,7,0.000002
8,8,0.000002
16,1,0.000017
16,1,0.000016
16,2,0.000016
16,3,0.000016
16,4,0.000016
16,5,0.000017
16,6,0.000016
16,7,0.000016
16,8,0.000016
32,1,0.000126
32,1,0.000129
32,2,0.000126
32,3,0.000126
32,4,0.000130
32,5,0.000106
32,6,0.000100
32,7,0.000100
32,8,0.000100
64,1,0.000795
64,1,0.001220
64,2,0.000953
64,3,0.000803
64,4,0.000801
64,5,0.000811
64,6,0.000833
64,7,0.000815
64,8,0.000810
128,1,0.007206
128,1,0.007242
128,2,0.007112
128,3,0.008088
128,4,0.008503
128,5,0.007042
128,6,0.007918
128,7,0.006733
128,8,0.006976
256,1,0.055743
256,1,0.057805
256,2,0.057276
256,3,0.057779
256,4,0.056762
256,5,0.056803
256,6,0.056873
256,7,0.056996
256,8,0.057682
512,1,0.468790
512,1,0.461606
512,2,0.454090
512,3,0.456965
512,4,0.457028
512,5,0.447996
512,6,0.452923
512,7,0.470586
512,8,0.473142
1024,1,5.156165
1024,1,5.049282
1024,2,5.005474
1024,3,5.061643
1024,4,5.094703
1024,5,5.073515
1024,6,5.049762
1024,7,5.133022
1024,8,5.073123
